Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,466,32.0989010989011,14479660.21978022
trap latino,urbano latino,393,33.01282051282051,14092957.653846154
reggaeton,trap latino,390,33.3375,14528803.875
urbano latino,urbano latino,234,31.626506024096386,14063637.61445783
reggaeton,reggaeton,232,31.96470588235294,14646963.88235294
trap latino,trap latino,166,30.5,10819815.04
latin hip hop,reggaeton,109,32.66,12747234.1
latin hip hop,urbano latino,109,32.791666666666664,12017275.104166666
pop,rap,91,29.70689655172414,4911676.724137931
latin hip hop,trap latino,83,33.0,11818905.18918919
reggaeton flow,urbano latino,82,34.0,12357216.5
reggaeton,reggaeton flow,80,34.0,12357216.5
pop,pop,77,36.3134328358209,9017669.791044775
reggaeton flow,trap latino,76,34.0,12357216.5
latin pop,urbano latino,75,37.45,15212992.3
latin pop,reggaeton,72,36.92982456140351,15632796.50877193
pop,trap,55,34.10526315789474,4961875.368421053
hip hop,pop,55,34.0,4736203.102564103
reggaeton colombiano,urbano latino,55,26.941176470588236,15320985.352941176
puerto rican pop,reggaeton,53,26.517241379310345,20389394.896551725
reggaeton,reggaeton colombiano,53,27.91176470588235,14751532.94117647
puerto rican pop,urbano latino,51,27.785714285714285,19899853.964285713
edm,pop,51,38.7,7637633.75
dance pop,pop,49,39.29032258064516,8419101.096774194
pop,pop dance,49,31.86111111111111,7587026.027777778
latin pop,trap latino,46,37.486486486486484,15854167.756756756
pop,urbano latino,43,30.451612903225808,10578742.387096774
hip hop,rap,42,36.05,4730599.95
pop,reggaeton,42,29.93548387096774,10113870.225806452
rap,trap,41,37.714285714285715,4762576.19047619
latin pop,latin pop,40,40.125,10870190.85
reggaeton colombiano,trap latino,39,26.875,11500063.708333334
atl hip hop,pop,38,27.79310344827586,4551999.206896552
puerto rican pop,trap latino,38,20.38888888888889,20855742.166666668
dance pop,rap,35,42.75,6288104.75
colombian pop,latin pop,34,33.96296296296296,14305903.296296297
dance pop,urbano latino,34,37.52,12590455.84
rap,rap,33,34.666666666666664,4212764.333333333
pop,pop rap,33,44.77272727272727,5777087.318181818
dance pop,reggaeton,32,36.0,12485186.916666666
pop rap,rap,31,59.4,6874581.5
pop,trap latino,30,26.1,11194099.95
latin hip hop,latin pop,29,36.25925925925926,14119092.703703703
hip hop,trap,28,36.357142857142854,2938657.285714286
electro house,pop,26,34.857142857142854,4447056.095238095
rap,reggaeton,24,20.5,1426380.75
colombian pop,reggaeton,24,31.31578947368421,15742028.0
latin pop,reggaeton colombiano,24,37.333333333333336,16407137.142857144
colombian pop,urbano latino,24,32.473684210526315,16151174.421052631
latin pop,mexican pop,24,47.714285714285715,8191238.714285715
rap,urbano latino,23,17.09090909090909,1491881.4545454546
dance pop,trap,23,45.6,6371195.2
dance pop,trap latino,23,29.625,11523209.3125
rap,trap latino,22,12.3,823250.6
pop,r&b,22,41.94444444444444,5077012.555555556
pop rap,trap,22,54.625,4108076.875
pop,southern hip hop,22,38.75,4805612.0625
edm,pop dance,22,48.42857142857143,4013595.4285714286
melodic rap,rap,21,30.866666666666667,4863088.733333333
melodic rap,pop,21,33.357142857142854,5106136.5
edm,rap,21,38.785714285714285,4056329.5714285714
electro house,rap,21,38.785714285714285,4056329.5714285714
atl hip hop,rap,20,28.6,4078444.2666666666
dance pop,pop dance,20,30.72222222222222,6025550.833333333
latin pop,pop,20,34.05263157894737,10288447.789473685
hip hop,melodic rap,19,27.0,4136419.8571428573
pop,reggaeton colombiano,19,34.625,11482906.5
mexican pop,urbano latino,19,46.10526315789474,11540408.52631579
hip hop,pop rap,19,52.0,4446786.25
atl hip hop,dance pop,18,39.166666666666664,3505837.8333333335
latin hip hop,puerto rican pop,18,18.470588235294116,20813158.588235293
dance pop,edm,18,36.1764705882353,6205135.94117647
dance pop,hip hop,18,46.416666666666664,6486649.75
latin hip hop,reggaeton flow,17,33.3,12082357.0
mexican pop,reggaeton,17,47.529411764705884,12510266.764705881
dance pop,latin pop,16,40.25,7939970.5
colombian pop,reggaeton colombiano,15,34.666666666666664,15880015.416666666
dance pop,reggaeton colombiano,15,35.916666666666664,12675740.583333334
atl hip hop,hip hop,14,23.0,2767482.111111111
dance pop,melodic rap,14,23.25,3166404.125
edm,trap,14,41.76923076923077,3980528.153846154
electro house,trap,14,41.76923076923077,3980528.153846154
latin hip hop,reggaeton colombiano,14,28.0,10456967.25
pop,uk dance,14,66.5,9379576.1
latin arena pop,latin pop,14,40.25,5170694.333333333
reggaeton,trap,13,15.0,1690761.2222222222
trap,urbano latino,13,15.0,1690761.2222222222
moombahton,pop,13,17.09090909090909,3158707.272727273
pop dance,rap,13,8.571428571428571,1812710.7142857143
latin arena pop,urbano latino,13,33.916666666666664,5739512.333333333
atl hip hop,reggaeton,12,8.75,879832.625
atl hip hop,trap latino,12,8.75,879832.625
trap,trap latino,12,8.75,879832.625
atl hip hop,urbano latino,12,8.75,879832.625
moombahton,rap,12,9.833333333333334,2107475.0
reggaeton flow,reggaeton flow,12,50.833333333333336,14896816.333333334
canadian pop,pop,12,24.181818181818183,7816748.454545454
pop,progressive house,12,60.7,10002699.4
latin arena pop,reggaeton,12,33.9,6228092.1
electro latino,latin pop,12,34.4,8186933.6
pop dance,pop dance,12,43.0,4672922.833333333
dance pop,dance pop,11,33.81818181818182,6977570.454545454
edm,hip hop,11,43.54545454545455,4692513.454545454
electro house,hip hop,11,43.54545454545455,4692513.454545454
trap,trap,11,49.0,3717395.5555555555
electropop,pop,11,36.875,13633222.375
melodic rap,reggaeton,10,10.142857142857142,943933.5714285715
melodic rap,trap latino,10,10.142857142857142,943933.5714285715
melodic rap,urbano latino,10,10.142857142857142,943933.5714285715
dance pop,electro house,10,32.0,4021661.0
atl hip hop,edm,10,40.6,2442701.6
atl hip hop,electro house,10,40.6,2442701.6
dance pop,slap house,10,11.8,1520620.4
pop,slap house,10,11.8,1520620.4
hip hop,reggaeton,10,24.125,1372459.0
colombian pop,colombian pop,10,26.1,10366129.5
colombian pop,trap latino,10,27.428571428571427,9041712.42857143
melodic rap,trap,10,39.5,6526168.9
melodic rap,pop rap,10,50.5,5372077.666666667
mexican pop,trap latino,10,41.1,7465794.3
electro latino,reggaeton,10,0.0,7667678.166666667
electro latino,urbano latino,10,0.0,7667678.166666667
pop,uk pop,10,41.0,10159240.6
electro house,pop dance,10,46.333333333333336,3141267.5
hip hop,hip hop,10,56.5,4445922.25
pop rap,pop rap,10,52.0,4446786.25
canadian pop,rap,10,49.333333333333336,5753745.0
hip hop,urbano latino,9,19.285714285714285,1467685.5714285714
latin arena pop,trap latino,9,35.0,5453101.625
cubaton,latin pop,9,51.0,12168880.142857144
latin hip hop,mexican pop,9,52.0,7065153.444444444
hip hop,modern rock,9,61.0,234478.0
edm,edm,9,51.6,3278999.4
canadian pop,pop dance,9,38.0,13239142.333333334
bachata,reggaeton,9,66.4,7761040.6
bachata,urbano latino,9,66.4,7761040.6
hip hop,trap latino,8,11.666666666666666,349268.1666666667
latin pop,puerto rican pop,8,42.625,12715641.5
rap latina,urbano latino,8,36.333333333333336,19981056.333333332
dance pop,latin hip hop,8,52.5,14410128.125
latin hip hop,pop,8,40.75,17804275.75
house,pop,8,73.33333333333333,6507808.833333333
rap,southern hip hop,8,62.666666666666664,6984511.5
southern hip hop,trap,8,59.6,3136984.0
dance pop,pop rap,8,56.5,10070206.166666666
house,rap,8,69.0,6299948.428571428
house,trap,8,69.0,6299948.428571428
progressive house,rap,8,69.0,6299948.428571428
progressive house,trap,8,69.0,6299948.428571428
rap,uk dance,8,69.0,6299948.428571428
trap,uk dance,8,69.0,6299948.428571428
pop dance,uk pop,8,32.125,7580367.625
latin hip hop,latin hip hop,8,21.666666666666668,9972476.666666666
latin pop,ranchera,8,30.142857142857142,1541884.7142857143
modern rock,trap,8,66.0,546406.6666666666
hip hop,rock,8,65.16666666666667,170799.66666666666
canadian pop,edm,8,38.0,13239142.333333334
bachata,trap latino,8,70.25,9497703.5
rap,slap house,7,22.166666666666668,1284890.1666666667
dance pop,moombahton,7,15.857142857142858,1708416.5714285714
colombian pop,pop,7,25.166666666666668,6995632.833333333
puerto rican pop,reggaeton flow,7,11.2,13106433.4
pop,post-teen pop,7,61.142857142857146,9725977.285714285
detroit hip hop,pop,7,57.6,5688324.8
pop rap,reggaeton,7,41.42857142857143,3357101.0
latin pop,reggaeton flow,7,47.5,10562330.25
rap,urban contemporary,7,35.833333333333336,2777157.5
latin arena pop,latin hip hop,7,45.42857142857143,6956368.857142857
miami hip hop,rap,7,51.0,8938015.666666666
canadian pop,hip hop,7,49.333333333333336,5753745.0
new orleans rap,rap,7,50.666666666666664,5892483.333333333
atl hip hop,pop rap,7,46.333333333333336,5726565.0
latin pop,musica mexicana,7,30.142857142857142,1541884.7142857143
latin pop,tropical,7,21.571428571428573,3044496.5714285714
latin viral pop,reggaeton,7,50.57142857142857,11750948.57142857
latin viral pop,urbano latino,7,50.57142857142857,11750948.57142857
edm,electro house,7,49.25,1786858.5
cubaton,reggaeton,7,33.5,23198353.0
reggaeton,spanish pop,7,26.833333333333332,5939359.833333333
spanish pop,urbano latino,7,26.833333333333332,5939359.833333333
r&b,rap,7,60.666666666666664,6944462.5
modern rock,pop rap,7,72.5,755742.0
atl hip hop,slap house,6,22.166666666666668,1284890.1666666667
melodic rap,slap house,6,22.166666666666668,1284890.1666666667
slap house,trap,6,22.166666666666668,1284890.1666666667
edm,melodic rap,6,20.333333333333332,1281365.8333333333
electro house,melodic rap,6,20.333333333333332,1281365.8333333333
pop dance,trap,6,10.0,1274537.8333333333
edm,reggaeton,6,11.666666666666666,854551.0
electro house,reggaeton,6,11.666666666666666,854551.0
moombahton,reggaeton,6,11.666666666666666,854551.0
pop dance,reggaeton,6,11.666666666666666,854551.0
edm,trap latino,6,11.666666666666666,854551.0
electro house,trap latino,6,11.666666666666666,854551.0
moombahton,trap latino,6,11.666666666666666,854551.0
pop dance,trap latino,6,11.666666666666666,854551.0
edm,urbano latino,6,11.666666666666666,854551.0
electro house,urbano latino,6,11.666666666666666,854551.0
moombahton,urbano latino,6,11.666666666666666,854551.0
pop dance,urbano latino,6,11.666666666666666,854551.0
puerto rican pop,reggaeton colombiano,6,32.0,21947755.166666668
latin pop,vallenato,6,33.666666666666664,12863141.0
rap latina,reggaeton,6,36.333333333333336,19981056.333333332
rap latina,trap latino,6,36.333333333333336,19981056.333333332
canadian contemporary r&b,pop,6,32.833333333333336,4152447.1666666665
colombian pop,latin hip hop,6,40.2,12064662.2
pop,queens hip hop,6,22.666666666666668,10846128.166666666
dance pop,progressive house,6,53.5,12017732.833333334
pop,progressive electro house,6,47.5,3116615.5
mexican pop,reggaeton colombiano,6,51.0,17674345.166666668
latin pop,rock en espanol,6,50.666666666666664,8196322.666666667
pop rap,reggaeton colombiano,6,38.666666666666664,3798972.3333333335
pop rap,urbano latino,6,38.666666666666664,3798972.3333333335
edm,pop rap,6,37.8,6335132.8
electro house,pop rap,6,37.8,6335132.8
electro latino,reggaeton colombiano,6,0.0,4271242.5
cubaton,dance pop,6,51.0,25208932.0
cubaton,mexican pop,6,56.0,14417034.8
dance pop,southern hip hop,6,68.8,10906990.6
hip hop,house,6,70.0,7335757.666666667
hip hop,progressive house,6,70.0,7335757.666666667
hip hop,uk dance,6,70.0,7335757.666666667
pop,pop r&b,6,66.83333333333333,1925772.0
miami hip hop,pop,6,42.833333333333336,10785112.666666666
pop,toronto rap,6,23.2,1546520.0
electro latino,mexican pop,6,44.5,9491879.666666666
hollywood,movie tunes,6,64.5,73821.5
hollywood,post-teen pop,6,68.5,44826.0
hip hop,new orleans rap,6,50.666666666666664,5892483.333333333
new orleans rap,pop rap,6,50.666666666666664,5892483.333333333
atl hip hop,trap,6,36.833333333333336,3484829.0
chicago rap,rap,6,37.0,8577498.0
conscious hip hop,rap,6,37.0,8577498.0
canadian pop,pop rap,6,37.0,8577498.0
colombian pop,mexican pop,6,19.5,12844949.0
rap,rock,6,67.6,195297.4
modern rock,rap,6,63.666666666666664,296533.6666666667
rock,trap,6,65.75,419967.0
pop,urban contemporary,6,40.4,3421683.4
cubaton,urbano latino,6,33.5,23198353.0
gangster rap,pop,6,44.5,4605774.25
reggaeton,slovenian pop,6,0.0,30746693.0
slovenian pop,trap latino,6,0.0,30746693.0
slovenian pop,urbano latino,6,0.0,30746693.0
spanish pop,trap latino,6,26.833333333333332,5939359.833333333
atl hip hop,moombahton,5,11.8,1520620.4
melodic rap,moombahton,5,11.8,1520620.4
moombahton,trap,5,11.8,1520620.4
atl hip hop,pop dance,5,11.8,1520620.4
melodic rap,pop dance,5,11.8,1520620.4
edm,slap house,5,11.8,1520620.4
electro house,slap house,5,11.8,1520620.4
hip hop,moombahton,5,11.8,1520620.4
moombahton,slap house,5,11.8,1520620.4
hip hop,pop dance,5,11.8,1520620.4
pop dance,slap house,5,11.8,1520620.4
colombian pop,dance pop,5,24.4,8584914.4
colombian pop,vallenato,5,28.0,13688122.8
hip pop,pop,5,15.6,12874179.2
dance pop,uk dance,5,74.4,14072901.2
latin alternative,latin pop,5,49.6,9801916.0
latin alternative,rock en espanol,5,56.5,12272565.25
dance pop,electro latino,5,38.0,4407613.8
latin pop,pop rap,5,47.6,3828778.6
colombian pop,electro latino,5,0.0,5302207.666666667
reggaeton colombiano,reggaeton colombiano,5,28.0,17549369.0
edm,southern hip hop,5,53.4,5671385.8
electro house,southern hip hop,5,53.4,5671385.8
atl hip hop,house,5,69.4,3364782.8
atl hip hop,progressive house,5,69.4,3364782.8
atl hip hop,uk dance,5,69.4,3364782.8
hip hop,urban contemporary,5,43.0,2324239.4
barbadian pop,rap,5,39.75,2877875.5
atl hip hop,melodic rap,5,34.0,7224711.0
edm,uk pop,5,43.0,9372626.0
czech hip hop,pop,5,66.33333333333333,1641880.3333333333
czsk hip hop,pop,5,66.33333333333333,1641880.3333333333
moombahton,pop dance,5,25.666666666666668,5915038.666666667
movie tunes,show tunes,5,64.5,73821.5
bachata,latin pop,5,53.4,4513958.8
conscious hip hop,pop,5,45.2,9391616.0
canadian pop,trap,5,49.333333333333336,5753745.0
mexican pop,musica mexicana,5,21.4,161877.0
mexican pop,ranchera,5,21.4,161877.0
mexican pop,tropical,5,14.8,1351680.6
latin viral pop,trap latino,5,48.8,15814703.0
modern rock,southern hip hop,5,65.5,325095.0
pop,tropical house,5,52.25,12488008.0
dance pop,r&b,5,53.5,14634905.5
electro latino,trap latino,5,0.0,9157977.0
pop rap,rock,5,75.66666666666667,519240.6666666667
latin pop,spanish pop,5,12.5,6265412.5
latin arena pop,mexican pop,5,53.333333333333336,48833.666666666664
pop,trap soul,5,72.0,7254943.25
reggaeton colombiano,spanish pop,5,12.5,4627929.25
hip hop,r&b,5,71.5,2600719.5
pop rap,r&b,5,71.0,3430400.0
pop rap,southern hip hop,5,67.0,316074.5
funk carioca,funk pop,5,67.0,45286.0
funk carioca,pop nacional,5,67.0,45286.0
reggaeton colombiano,reggaeton flow,5,74.5,19486994.0
reggaeton,slap house,4,4.5,192873.0
slap house,trap latino,4,4.5,192873.0
slap house,urbano latino,4,4.5,192873.0
canadian pop,electro,4,62.25,16260415.5
electro,pop,4,62.25,16260415.5
brostep,pop,4,60.5,3773991.25
edm,post-teen pop,4,57.75,11350721.75
rap,uk pop,4,47.25,570264.25
dancehall,reggaeton,4,13.0,7123652.25
dancehall,trap latino,4,13.0,7123652.25
pop rap,trap latino,4,28.0,3640781.0
dancehall,urbano latino,4,13.0,7123652.25
dancehall,pop,4,43.333333333333336,11243440.666666666
pop dance,pop rap,4,13.25,5730873.75
latin arena pop,reggaeton flow,4,25.5,1805262.25
mexican pop,reggaeton flow,4,25.5,1805262.25
house,southern hip hop,4,66.5,7078201.0
progressive house,southern hip hop,4,66.5,7078201.0
southern hip hop,uk dance,4,66.5,7078201.0
edm,pop r&b,4,69.0,2738754.25
barbadian pop,hip hop,4,39.75,2877875.5
dutch edm,pop,4,45.5,15007800.25
trap queen,urbano latino,4,36.5,20840128.0
tropical house,uk pop,4,27.5,5852309.25
uk dance,uk pop,4,10.5,3756205.25
danish pop,pop,4,0.0,8803867.5
electro latino,latin arena pop,4,33.5,7740895.25
hollywood,pop,4,68.5,44826.0
movie tunes,post-teen pop,4,68.5,44826.0
rap,reggaeton colombiano,4,16.25,3574897.25
reggaeton colombiano,trap,4,16.25,3574897.25
new orleans rap,trap,4,50.666666666666664,5892483.333333333
chicago rap,hip hop,4,37.0,8577498.0
chicago rap,pop rap,4,37.0,8577498.0
conscious hip hop,hip hop,4,37.0,8577498.0
conscious hip hop,pop rap,4,37.0,8577498.0
hip hop,miami hip hop,4,37.0,8577498.0
miami hip hop,pop rap,4,37.0,8577498.0
chicago rap,trap,4,37.0,8577498.0
conscious hip hop,trap,4,37.0,8577498.0
miami hip hop,trap,4,37.0,8577498.0
latin alternative,latin rock,4,66.66666666666667,4389149.333333333
rock,southern hip hop,4,65.33333333333333,230279.33333333334
complextro,pop,4,19.25,6553880.25
pop,puerto rican pop,4,14.0,13677585.25
australian pop,pop,4,70.75,7369755.75
pop rap,uk dance,4,71.33333333333333,18883411.0
rap,toronto rap,4,43.333333333333336,1752560.6666666667
colombian pop,latin arena pop,4,16.5,11994119.5
latin pop,mariachi,4,52.75,2548263.25
cancion melodica,latin pop,4,52.666666666666664,112882.66666666667
electronic trap,pop,4,0.0,12428311.0
hollywood,hollywood,4,30.5,788523.0
electropop,indie poptimism,4,49.25,8346471.5
indie poptimism,pop,4,49.25,8346471.5
dance pop,gangster rap,4,40.0,5905741.333333333
atl trap,pop,4,32.0,8803764.5
queens hip hop,reggaeton,4,55.0,425821.5
colombian pop,spanish pop,4,16.666666666666668,5777790.0
dutch house,edm,4,30.0,804822.75
dutch house,pop,4,30.0,804822.75
dutch house,pop dance,4,30.0,804822.75
alt z,pop,4,43.75,741375.5
miami hip hop,reggaeton,4,36.666666666666664,28912359.333333332
hollywood,show tunes,4,61.0,43441.0
post-teen pop,show tunes,4,61.0,43441.0
pop,uk funky,4,51.666666666666664,13689221.333333334
modern alternative rock,pop,4,26.0,1087487.6666666667
r&b,trap,4,67.0,316074.5
hip hop,southern hip hop,4,78.0,522454.0
polish hip hop,reggaeton,4,68.0,977407.0
polish hip hop,trap latino,4,68.0,977407.0
polish hip hop,urbano latino,4,68.0,977407.0
dance pop,vallenato,3,20.666666666666668,10905754.0
pop,vallenato,3,20.666666666666668,10905754.0
canadian contemporary r&b,electro,3,57.333333333333336,21634760.333333332
canadian contemporary r&b,filter house,3,57.333333333333336,21634760.333333332
canadian pop,filter house,3,57.333333333333336,21634760.333333332
filter house,pop,3,57.333333333333336,21634760.333333332
canadian contemporary r&b,rock,3,57.333333333333336,21634760.333333332
canadian pop,rock,3,57.333333333333336,21634760.333333332
pop,rock,3,57.333333333333336,21634760.333333332
puerto rican pop,rap latina,3,26.0,11716305.0
modern reggae,pop,3,0.0,5480870.333333333
art pop,canadian contemporary r&b,3,25.333333333333332,506258.0
art pop,canadian pop,3,25.333333333333332,506258.0
art pop,pop,3,25.333333333333332,506258.0
dance pop,house,3,74.66666666666667,9102918.0
melodic rap,southern hip hop,3,54.666666666666664,5017590.333333333
latin alternative,mexican pop,3,38.666666666666664,12002039.0
dancehall,reggaeton colombiano,3,17.333333333333332,1844720.3333333333
reggaeton,vallenato,3,46.666666666666664,14820528.0
reggaeton colombiano,vallenato,3,46.666666666666664,14820528.0
urbano latino,vallenato,3,46.666666666666664,14820528.0
reggae fusion,reggaeton,3,44.333333333333336,11316096.666666666
reggae fusion,trap latino,3,44.333333333333336,11316096.666666666
reggae fusion,urbano latino,3,44.333333333333336,11316096.666666666
atl hip hop,dfw rap,3,29.333333333333332,10812426.0
dfw rap,rap,3,29.333333333333332,10812426.0
dfw rap,trap,3,29.333333333333332,10812426.0
dance pop,dutch edm,3,37.333333333333336,14616234.333333334
girl group,hip hop,3,26.333333333333332,773809.0
girl group,pop rap,3,26.333333333333332,773809.0
girl group,southern hip hop,3,26.333333333333332,773809.0
girl group,trap,3,26.333333333333332,773809.0
dirty south rap,pop,3,0.0,2203106.0
hip hop,talent show,3,26.333333333333332,773809.0
pop rap,talent show,3,26.333333333333332,773809.0
southern hip hop,talent show,3,26.333333333333332,773809.0
talent show,trap,3,26.333333333333332,773809.0
neo soul,pop,3,51.333333333333336,5323211.333333333
dance pop,electropop,3,0.0,5882450.666666667
danish pop,edm,3,0.0,8803867.5
edm,electropop,3,0.0,8803867.5
danish pop,pop dance,3,0.0,8803867.5
electropop,pop dance,3,0.0,8803867.5
cubaton,latin arena pop,3,44.666666666666664,8959343.0
latin pop,musica tlaxcalteca,3,33.333333333333336,1137252.0
pop rap,viral pop,3,26.333333333333332,1465323.0
broadway,movie tunes,3,64.5,73821.5
movie tunes,pop,3,68.5,44826.0
atl hip hop,reggaeton colombiano,3,0.0,2040466.3333333333
bachata,mexican pop,3,47.333333333333336,2212831.6666666665
canadian pop,electropop,3,24.0,8910335.333333334
new orleans rap,pop,3,50.666666666666664,5892483.333333333
atl hip hop,canadian pop,3,49.333333333333336,5753745.0
canadian pop,melodic rap,3,49.333333333333336,5753745.0
gruperas inmortales,latin pop,3,0.0,200046.66666666666
gruperas inmortales,mexican pop,3,0.0,200046.66666666666
gruperas inmortales,mexican rock,3,0.0,173826.33333333334
latin alternative,musica mexicana,3,17.0,175499.0
mexican rock,musica mexicana,3,0.0,173826.33333333334
latin pop,nu-cumbia,3,0.0,200046.66666666666
mexican pop,nu-cumbia,3,0.0,200046.66666666666
mexican rock,nu-cumbia,3,0.0,173826.33333333334
latin alternative,ranchera,3,17.0,175499.0
mexican rock,ranchera,3,0.0,173826.33333333334
mexican rock,tropical,3,0.0,173826.33333333334
latin alternative,mexican rock,3,66.66666666666667,4389149.333333333
pop,west coast rap,3,50.666666666666664,9934361.333333334
alternative hip hop,hip hop,3,55.333333333333336,138486.0
gangster rap,rock,3,66.66666666666667,71540.66666666667
rock,virginia hip hop,3,61.666666666666664,385804.6666666667
edm,moombahton,3,38.5,3051288.0
canadian pop,electro house,3,38.5,5889960.5
latin hip hop,mexican hip hop,3,0.3333333333333333,233854.66666666666
mexican hip hop,mexican hip hop,3,0.3333333333333333,233854.66666666666
mexican hip hop,nueva musica mexicana,3,0.3333333333333333,233854.66666666666
edm,r&b,3,45.333333333333336,10772491.0
electro house,r&b,3,45.333333333333336,10772491.0
house,pop rap,3,68.0,13637862.5
pop rap,progressive house,3,68.0,13637862.5
toronto rap,trap,3,65.0,107967.0
big room,pop,3,64.33333333333333,9153155.0
latin arena pop,spanish pop,3,20.666666666666668,9636239.333333334
latin arena pop,latin arena pop,3,60.666666666666664,5731646.0
mexican pop,mexican pop,3,53.333333333333336,48833.666666666664
atl trap,dance pop,3,32.0,8803764.5
pop nacional,pop nacional,3,40.666666666666664,7359737.666666667
german techno,pop,3,0.0,8692713.333333334
latin rock,rock en espanol,3,59.5,102437.0
big room,edm,3,63.5,5127067.0
big room,pop dance,3,63.5,5127067.0
latin pop,latin viral pop,3,36.666666666666664,2012361.0
rap,underground hip hop,3,60.5,67197.0
rap,viral trap,3,60.5,67197.0
rap,virginia hip hop,3,60.5,67197.0
art pop,rap,3,26.5,82252.5
pop dance,progressive house,3,67.0,367496.3333333333
alt z,electropop,3,36.666666666666664,976053.0
dance pop,urban contemporary,3,47.333333333333336,5284154.333333333
edm,urban contemporary,3,47.333333333333336,5284154.333333333
electro house,urban contemporary,3,47.333333333333336,5284154.333333333
canadian pop,latin pop,3,22.333333333333332,13803295.666666666
miami hip hop,urbano latino,3,36.666666666666664,28912359.333333332
mariachi,ranchera,3,25.5,1986314.5
musica mexicana,ranchera,3,25.5,1986314.5
contemporary country,pop,3,38.5,2103278.5
country,pop,3,38.5,2103278.5
country pop,pop,3,38.5,2103278.5
country road,pop,3,38.5,2103278.5
modern country rock,pop,3,38.5,2103278.5
latin pop,modern salsa,3,25.666666666666668,6888689.333333333
latin pop,salsa,3,25.666666666666668,6888689.333333333
rap,trap soul,3,78.0,13372301.5
czech hip hop,hip hop,3,78.0,522454.0
czsk hip hop,hip hop,3,78.0,522454.0
czech hip hop,pop rap,3,78.0,522454.0
czsk hip hop,pop rap,3,78.0,522454.0
czech hip hop,trap,3,78.0,522454.0
czsk hip hop,trap,3,78.0,522454.0
hip hop,modern alternative rock,3,78.0,522454.0
hip hop,stomp pop,3,78.0,522454.0
modern alternative rock,pop rap,3,78.0,522454.0
pop rap,stomp pop,3,78.0,522454.0
modern alternative rock,trap,3,78.0,522454.0
stomp pop,trap,3,78.0,522454.0
pop rap,urban contemporary,3,67.5,4884373.0
funk carioca,funk rj,3,67.0,45286.0
funk carioca,pagode baiano,3,67.0,45286.0
funk carioca,pop,3,67.0,45286.0
funk pop,pop nacional,3,67.0,45286.0
detroit hip hop,funk carioca,3,67.0,45286.0
funk carioca,pop r&b,3,67.0,45286.0
funk carioca,funk carioca,3,67.0,45286.0
hip pop,reggaeton,3,52.0,145770.0
hip pop,trap latino,3,52.0,145770.0
queens hip hop,trap latino,3,52.0,145770.0
hip pop,urbano latino,3,52.0,145770.0
queens hip hop,urbano latino,3,52.0,145770.0
cubaton,trap latino,3,30.0,25616848.0
cubaton,pop,3,29.0,27814291.5
cubaton,latin hip hop,3,36.0,26543470.0
brostep,post-teen pop,2,41.0,4444752.0
post-teen pop,progressive electro house,2,41.0,4444752.0
colombian pop,latin alternative,2,38.0,17979834.0
detroit hip hop,singer-songwriter pop,2,38.0,585746.0
hip hop,singer-songwriter pop,2,38.0,585746.0
rap,singer-songwriter pop,2,38.0,585746.0
detroit hip hop,uk pop,2,38.0,585746.0
hip hop,uk pop,2,38.0,585746.0
edm,reggaeton colombiano,2,26.0,2177907.0
electro house,reggaeton colombiano,2,26.0,2177907.0
moombahton,reggaeton colombiano,2,26.0,2177907.0
pop dance,reggaeton colombiano,2,26.0,2177907.0
dance pop,dancehall,2,26.0,2177907.0
dancehall,edm,2,26.0,2177907.0
dancehall,electro house,2,26.0,2177907.0
dancehall,moombahton,2,26.0,2177907.0
moombahton,pop rap,2,26.0,2177907.0
dancehall,pop dance,2,26.0,2177907.0
colombian pop,pop rap,2,30.0,5103655.0
colombian pop,reggae fusion,2,30.0,5103655.0
electro latino,pop rap,2,30.0,5103655.0
electro latino,reggae fusion,2,30.0,5103655.0
latin pop,reggae fusion,2,30.0,5103655.0
reggae fusion,reggaeton colombiano,2,30.0,5103655.0
electropop,indie pop rap,2,40.5,62762.5
etherpop,indie pop rap,2,40.5,62762.5
indie pop rap,indie poptimism,2,40.5,62762.5
indie pop rap,pop,2,40.5,62762.5
electropop,oakland hip hop,2,40.5,62762.5
etherpop,oakland hip hop,2,40.5,62762.5
indie poptimism,oakland hip hop,2,40.5,62762.5
oakland hip hop,pop,2,40.5,62762.5
electropop,pop rap,2,40.5,62762.5
etherpop,pop rap,2,40.5,62762.5
indie poptimism,pop rap,2,40.5,62762.5
electropop,rap,2,40.5,62762.5
etherpop,rap,2,40.5,62762.5
indie poptimism,rap,2,40.5,62762.5
dance pop,pop r&b,2,65.0,518539.5
electro house,pop r&b,2,65.0,518539.5
house,pop r&b,2,65.0,518539.5
pop r&b,progressive house,2,65.0,518539.5
pop r&b,uk dance,2,65.0,518539.5
atl hip hop,pop r&b,2,65.0,518539.5
hip hop,pop r&b,2,65.0,518539.5
pop r&b,rap,2,65.0,518539.5
pop r&b,southern hip hop,2,65.0,518539.5
pop r&b,trap,2,65.0,518539.5
dance pop,girl group,2,24.5,217699.0
girl group,miami hip hop,2,24.5,217699.0
girl group,pop,2,24.5,217699.0
dance pop,talent show,2,24.5,217699.0
miami hip hop,talent show,2,24.5,217699.0
pop,talent show,2,24.5,217699.0
barbadian pop,canadian hip hop,2,0.0,796547.5
